Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,420315,421381,425702,426232,426305,434913,442506,454629,468406,474027,485019,492462,496319,498119,515931,521801,526437,533138,537032,540913,537275,538281,540616,530434,524957,535174,546772,554127
Austria,78670,82349,75750,75932,76207,79584,82875,82405,81702,80105,80415,84324,86111,91788,91383,92567,90117,87473,86816,80329,84753,82460,79811,80353,76680,78897,79596,82261
Belgium,146587,149324,148920,147890,152523,154665,158303,149782,154957,148645,149730,148132,147567,147932,149231,145284,142660,138961,138828,126263,132922,122198,119373,119304,113506,117122,115783,114540
Canada,602184,593402,610441,612264,633675,651011,672053,686988,694531,707376,730588,719733,724349,741003,742972,730349,721445,743767,723225,681699,692619,703379,711023,722063,723091,721992,707727,715749
Chile,52016,50681,52579,55432,58349,61452,67715,75203,76151,79279,76587,74732,76179,76956,82609,84334,85555,93656,94262,90887,91862,99861,104492,104304,101474,108243,111678,..
Czech Republic,197393,179182,172687,165018,157518,156718,159770,155160,148998,139448,149334,149097,145506,148759,149625,147494,148599,150337,145614,137215,139734,137753,133698,128691,126758,127778,129757,128675
Denmark,70515,81146,75165,77370,81267,78332,91500,82058,78077,75672,71368,73066,72590,77645,71511,67091,74859,70293,66657,63876,64178,58947,54335,56021,51871,49254,51298,49226
Estonia,40432,37284,27292,21351,22059,20259,20960,20585,18996,17652,17360,17760,17221,19110,19375,19203,18498,22225,20046,16758,21214,21259,20171,21942,21147,18127,19665,20880
Finland,71133,68905,67468,69728,75346,71788,77675,76256,72566,71981,70130,75490,77947,85532,81841,69813,81174,79513,71399,67804,75627,67805,62415,62894,58733,55123,58044,55334
France,551049,578336,566697,545037,538664,546758,564087,556744,570619,562661,556370,561355,554879,559544,557794,559499,547093,536948,530315,510351,517116,491009,490856,491141,461479,466385,467622,471028
Germany,1250993,1203924,1153797,1144857,1125835,1123035,1141085,1106001,1080729,1047034,1045187,1060271,1038920,1035574,1019124,993344,1000638,973942,975646,908054,942542,920306,924611,942250,903196,907190,911049,906611
Greece,103101,103172,104423,104013,106804,109156,112303,117213,122812,122983,126346,127399,127395,131132,131814,136281,132391,134997,131716,124535,118436,115454,112146,102547,99113,95330,91698,95421
Hungary,93656,86997,76994,77860,76733,75320,77621,76126,75668,76138,73208,75244,73602,76639,75605,75360,74143,72384,70576,64586,64949,63351,59647,56796,57416,60767,61140,63788
Iceland,3598,3382,3294,3378,3301,3426,3474,3645,3807,4031,4038,3935,4006,3984,4088,3947,4548,4853,5241,4943,4845,4582,4602,4599,4634,4715,4640,4755
Ireland,55417,56097,55959,56360,57697,59177,61273,62652,65174,66309,68478,70475,68429,68663,67964,69495,68782,68019,67302,61547,61105,56989,57612,57410,57099,59212,61270,60744
Israel,..,..,..,..,..,..,57653,..,..,..,67163,..,..,71448,71883,72400,73781,76930,78435,74568,77236,79188,85028,79569,76957,80601,79935,..
Italy,517746,518909,515451,509408,503475,532419,525295,531865,543114,548226,554106,561225,561243,575696,579999,580600,570045,560569,547847,496178,505773,492475,472722,442708,426212,434044,432119,427708
Japan,1270004,1283840,1296546,1289062,1353408,1374496,1387111,1379443,1330891,1354486,1374847,1349407,1373198,1379176,1371762,1378957,1357395,1393442,1321398,1248599,1302732,1353795,1396605,1408057,1360071,1321467,1305751,1289631
Korea,292939,316235,343147,378762,403832,437295,471119,500821,430226,468287,501430,514637,536010,546328,555171,559146,564456,579527,592709,597564,657428,682945,687126,696749,690944,692924,694066,..
Latvia,26259,24366,19617,16200,14269,12893,12934,12383,11884,11102,10488,11062,11043,11222,11207,11388,11884,12339,11874,11176,12279,11489,11327,11260,11173,11256,11269,11306
Lithuania,48213,50213,30935,24834,23378,22349,23373,22907,23844,21060,19503,20253,20648,20810,21645,22850,23142,25294,24322,19909,20729,21295,21229,19946,19908,20206,20186,20417
Luxembourg,12756,13404,13133,13287,12466,10093,10155,9505,8627,9093,9678,10165,10942,11381,12783,13025,12852,12267,12154,11608,12180,12062,11781,11239,10787,10295,10052,10236
Mexico,444742,453232,455133,458499,482722,471385,493530,517910,543848,529230,544660,537611,557652,563298,574317,592587,616362,646665,691822,671577,669084,681190,673722,683121,686160,699564,..,..
Netherlands,220794,228441,229171,229929,230816,231012,242077,233882,234438,221105,219304,220007,217879,218564,219970,214308,209234,207700,207095,201413,213363,199235,195347,194954,187282,195560,195384,193260
New Zealand,65668,66491,67621,67383,68703,69412,71541,74327,72236,74083,76180,79103,79387,81591,81251,83270,83442,81325,81267,78477,78965,78679,81055,80541,81310,81202,79136,80853
Norway,51210,48976,47321,49154,50996,51278,54291,54222,54426,55365,54832,56118,55029,55694,56203,55367,55327,57013,55596,53178,55467,54638,54090,54015,54127,54450,53608,52713
Poland,474350,462290,449316,448830,443646,444963,458390,449501,417992,406560,395472,394371,384386,398005,403040,403424,418138,418633,411396,393443,411669,411034,403648,399974,387087,390445,399123,413781
Portugal,59092,60796,65086,63670,64536,68927,66652,69943,74682,82758,82082,81690,85601,80266,83349,85610,80855,78575,76157,73032,68801,67417,65556,63711,63709,67735,65936,70546
Slovak Republic,73362,63970,58544,55034,52615,53212,53162,53023,52435,51135,49196,51475,50120,50424,51115,51142,51030,49243,49713,45429,46295,45545,43057,42727,40660,41645,42154,43316
Slovenia,18639,17320,17419,17621,18025,18721,19356,19708,19464,18833,19076,19994,20176,19900,20217,20519,20707,20847,21573,19602,19626,19635,19062,18359,16626,16820,17681,17454
Spain,288492,296204,305976,295738,312540,328614,320379,334704,344566,372043,387528,385241,403569,410975,426793,441038,434006,445158,411404,372107,357677,357344,350672,323441,326121,337599,326383,340231
Sweden,71304,71482,70923,71192,73571,73287,76894,72137,72496,69631,68483,68854,69791,70212,69319,66587,66536,64936,62567,58340,64282,60207,56873,55366,53832,53461,52943,52660
Switzerland,53252,55117,54879,52325,51325,52189,52800,51610,53253,52976,52352,53893,52266,53401,54029,54714,54335,52442,53914,52562,54117,50029,51456,52229,48364,47816,48183,47159
Turkey,219202,226578,232802,240149,234127,247585,267232,278607,280288,277759,298890,280411,286073,305596,314951,337213,358155,391423,387593,395515,398661,427572,446935,438969,457962,472191,498469,526253
United Kingdom,797948,807119,786249,766961,757972,751272,773286,747862,746500,715997,715687,718693,699148,706205,702933,695165,688015,676322,655903,599871,614361,567161,583653,569902,529503,511980,487035,474346
United States,6371001,6315615,6424934,6532070,6624836,6710067,6907699,6968462,7032526,7071461,7232011,7116810,7156653,7199263,7333052,7339040,7270327,7369968,7160601,6709369,6938592,6787419,6545969,6710218,6759996,6623775,6492267,6456718
European Union (28 countries),5649529,5555046,5379831,5281540,5255297,5308544,5418672,5326317,5281519,5172644,5168912,5223118,5182923,5265583,5265369,5228429,5214525,5162425,5046999,4681900,4783628,4626382,4563065,4468920,4297636,4327313,4303392,4323163
OECD - Europe,5595163,5575282,5425270,5343127,5317709,5377033,5507201,5430486,5412114,5326302,5348641,5380002,5342087,5434651,5446908,5432329,5437765,5412706,5299265,4969624,5082700,4939252,4906686,4822748,4664986,4705402,4712087,4754649
OECD - Total,15171684,15133813,15159026,15220484,15427192,15644717,16078128,16148165,16123155,16149179,16437124,16333058,16411824,16591832,16775855,16794214,16736965,16931124,16580017,15663278,16128491,15943989,15732322,15837803,15669944,15570343,15428983,15436970
  Argentina,220241,230414,234122,239560,243599,244499,256464,258304,262725,264638,280309,276903,269316,286382,298167,307493,321462,335854,331802,322554,300695,310315,310670,321012,322555,..,..,..
  Brazil,573079,592144,601634,614411,633105,660104,664669,689839,709934,729124,756664,775840,791184,811626,846526,863895,881670,881782,910098,890515,954325,991691,1027739,..,..,..,..,..
  China (People's Republic of),..,..,..,..,4057617,..,..,..,..,..,..,..,..,..,..,7465862,..,..,..,..,..,..,11895765,..,..,..,..,..
  Colombia,94041,97253,102161,103814,105140,106659,109796,114195,113892,108652,110795,109489,109966,113929,117271,122239,130651,131880,130026,137137,138248,133918,139838,147803,150615,..,..,..
  Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10878,..,..,..,..,12511,..,13257,..,..,..,..,..
  India,..,..,..,..,1214248,..,..,..,..,..,1523767,..,..,..,..,..,..,..,..,..,2100850,..,..,..,..,..,..,..
  Indonesia,..,..,..,..,..,..,..,..,..,..,502363,537949,545911,559139,583101,590736,610242,607947,629710,628562,685711,726262,757250,796579,864948,907334,883224,..
  Russia,3186796,3024288,2537054,2399329,2137001,2084833,2029805,1912592,1879190,1904986,1900820,1941994,1923732,1958582,1973484,1993963,2056688,2058076,2097173,1960224,2057673,2120497,2146306,2090717,2089475,2093653,2097477,2155471
  South Africa,347349,..,..,..,379837,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
